Title,Summary,Link,Time,Section,Subsection,Category
"DealBook Briefing: Bitcoin Surges Past $16,000","As his company closes in on a deal for much of the Fox media empire, the C.E.O. may have to postpone retirement yet again to oversee post-merger work.",https://www.nytimes.com/2017/12/07/business/dealbook/disney-iger-ceo.html,2017-12-07T12:15:16+0000,Business Day,Business Day,Florida Man
Daily Report: Tesla Driver Dies in â€˜Autopilotâ€™ Accident,Federal investigators are trying to determine why the car didnâ€™t automatically stop when a tractor-trailer crossed into its path.,https://www.nytimes.com/2016/07/02/technology/daily-report-tesla-driver-dies-in-autopilot-accident.html,2016-07-01T14:29:48+0000,Technology,Technology,Florida Man
"Executive Orders, Betsy DeVos: Your Tuesday Evening Briefing",Hereâ€™s what you need to know at the end of the day.,https://www.nytimes.com/2017/02/07/briefing/executive-orders-betsy-devos.html,2017-02-07T22:53:03+0000,Briefing,Briefing,Florida Man
Arrest Made in Arson at Mosque That Orlando Nightclub Gunman Attended,"A Florida man who espoused anti-Islamic views on social media was charged with setting a fire that damaged a mosque in Fort Pierce, Fla., the authorities said.",https://www.nytimes.com/2016/09/15/us/arrest-made-in-arson-at-mosque-that-orlando-nightclub-gunman-attended.html,2016-09-15T00:44:28+0000,U.S.,U.S.,Florida Man
Florida Man Fatally Shoots Daughter and 6 Grandchildren,"After exchanging words with a deputy who had arrived at the shooting scene, the man, Don Charles Spirit, killed himself.",https://www.nytimes.com/2014/09/19/us/florida-man-fatally-shoots-daughter-and-6-grandchildren.html,2014-09-19T02:26:50+0000,U.S.,U.S.,Florida Man
Florida Man Gets Life Term in Fatal Dispute Over Music,The defendant had claimed he had acted in self-defense when he shot an unarmed teenager in 2012. A judge said the case reflected the continued misuse of the stateâ€™s Stand Your Ground law.,https://www.nytimes.com/2014/10/18/us/florida-man-gets-life-in-prison-in-fatal-dispute-over-music.html,2014-10-17T22:08:35+0000,U.S.,U.S.,Florida Man
Pilot who landed gyrocopter on Capitol lawn pleads guilty,The Florida man who flew a gyrocopter onto the U.S. Capitol grounds to promote campaign finance reform pleads guilty to not having an airman's certificate. Diane Hodges reports.,https://www.nytimes.com/video/multimedia/100000004050730/pilot-who-landed-gyrocopter-on-capitol-lawn-pleads-guilty.html,2015-11-20T22:33:37+0000,Multimedia/Photos,Multimedia/Photos,Florida Man
The Fast and Furious Michael Avenatti,"In representing the porn star Stormy Daniels, the lawyer thinks he can bring down a president â€” one cable-news appearance at a time.",https://www.nytimes.com/2018/07/10/magazine/michael-avenatti-stormy-daniels-donald-trump-media.html,2018-07-10T09:00:07+0000,Magazine,Magazine,Florida Man
Suicide Bomber Is Identified as a Florida Man,"An American who blew himself up in a suicide attack in Syria was identified by officials as Moner Mohammad Abusalha, who has lived in Fort Pierce and Vero Beach.",https://www.nytimes.com/2014/05/31/world/middleeast/american-suicide-bomber-in-syria.html,2014-05-30T16:04:35+0000,World,World,Florida Man
Transcripts of Calls With Orlando Gunman Will Be Released,"Attorney General Loretta Lynch said the calls should shed light on the motivation of the gunman, Omar Mateen, as her department continued its investigation.",https://www.nytimes.com/2016/06/20/us/politics/transcripts-of-calls-with-orlando-gunman-will-be-released.html,2016-06-19T17:05:14+0000,U.S.,U.S.,Florida Man
Rubio Challenged Trumpâ€™s Nominee. But Will He Defy Trump?,"Senator Marco Rubioâ€™s tough questioning of Rex W. Tillerson, the nominee for secretary of state, was an early test of how adversarial he is willing to be toward a fellow Republican in the White House.",https://www.nytimes.com/2017/01/17/us/politics/marco-rubio-senate-tillerson.html,2017-01-17T10:00:06+0000,U.S.,U.S.,Florida Man
Plot to bomb 9/11 ceremony in Kansas foiled,"A Florida man has been arrested and accused of plotting to detonate a pressure-cooker bomb at a memorial in Kansas City, Missouri to commemorate the 9/11 attacks. Rough Cut (no reporter narration).",https://www.nytimes.com/video/multimedia/100000003904024/plot-to-bomb-911-ceremony-in-kansas-foiled.html,2015-09-11T13:23:38+0000,Multimedia/Photos,Multimedia/Photos,Florida Man
@_FloridaMan Beguiles With the Hapless and Harebrained,"A beguilingly anonymous Twitter author with the mug shot of an Indiana man unspools, tweet by tweet, a composite of Floridaâ€™s nuttiness.",https://www.nytimes.com/2015/05/11/us/both-hapless-and-harebrained-florida-man-enlivens-internet.html,2015-05-11T02:02:37+0000,U.S.,U.S.,Florida Man
Township Saw a Zoning Issue. The Justice Dept. Saw Religious Discrimination.,"As anti-Islamic rhetoric and discrimination surge, the federal government is emerging as a bulwark in defense of embattled American Muslims.",https://www.nytimes.com/2016/08/08/us/politics/township-saw-a-zoning-issue-the-justice-dept-saw-religious-discrimination.html,2016-08-08T00:17:37+0000,U.S.,U.S.,Florida Man
Nicolas Cage Agrees to Return Stolen Dinosaur Skull to Mongolia,"Mr. Cage bought the the skull of a Tyrannosaurus bataar at auction for $276,000. But authorities say it was stolen from the Gobi Desert in Mongolia.",https://www.nytimes.com/2015/12/23/arts/design/nicolas-cage-tyrannosaurus-bataar-mongolia.html,2015-12-22T15:27:40+0000,Arts,Arts,Florida Man
"Orlando, Tony Awards, Pittsburgh Penguins: Your Monday Briefing",Hereâ€™s what you need to know to start your day.,https://www.nytimes.com/2016/06/13/nytnow/your-monday-briefing-orlando-tony-awards-pittsburgh-penguins.html,2016-06-13T09:49:28+0000,NYT Now,NYT Now,Florida Man
"Orlando Gunman Was on Terror Watchlist, F.B.I. Director Says","Omar Mateen was on the list from 2013 to 2014, but investigations did not produce enough evidence to charge him with a crime.",https://www.nytimes.com/2016/06/14/us/omar-mateen-fbi.html,2016-06-13T18:50:00+0000,U.S.,U.S.,Florida Man
Florida Man Is Denied Bail in Killing at a Movie Theater,"Curtis J. Reeves Jr., a retired Tampa police captain, was denied bail on charges of second-degree murder. He shot Chad Oulson, a man who was texting in a theater.",https://www.nytimes.com/2014/02/08/us/florida-man-is-denied-bail-in-killing-at-a-movie-theater.html,2014-02-08T02:52:38+0000,U.S.,U.S.,Florida Man
U.S. Law Enforcement Failed to See the Threat of White Nationalism. Now They Donâ€™t Know How to Stop It.,"For two decades, domestic counterterrorism strategy has ignored the rising danger of far-right extremism. In the atmosphere of willful indifference, a virulent movement has grown and metastasized.",https://www.nytimes.com/2018/11/03/magazine/FBI-charlottesville-white-nationalism-far-right.html,2018-11-03T14:00:01+0000,Magazine,Magazine,Florida Man
A day in court for man who landed helicopter near U.S. Capitol,A Florida man who caused a major security scare after landing a small helicopter on the west lawn of the U.S. Capitol appears in court. Deborah Lutterbeck reports.,https://www.nytimes.com/video/multimedia/100000003633705/a-day-in-court-for-man-who-landed-helicopter-near-us-capitol.html,2015-04-16T23:19:05+0000,Multimedia/Photos,Multimedia/Photos,Florida Man
Disney and Other Theme Parks Add Metal Detectors for Holidays,"Disney, SeaWorld and Universal Studios are joining Six Flags in adding more gate security. Disney previously banned toy guns and costumes.",https://www.nytimes.com/2015/12/18/business/media/disney-metal-detectors-theme-parks.html,2015-12-17T18:02:37+0000,Business Day,Business Day,Florida Man
