Title,Summary,Link,Time,Section,Subsection,Category
"Making Legislative History, With Nod From Obama and Stroke of an Autopen","Although the autopen, a mechanical signature-producing device, has been in wide use for decades, it had apparently never been used to sign a bill into law before.",https://www.nytimes.com/2011/05/28/us/politics/28sign.html,2011-05-28T04:01:34+0000,U.S.,U.S.,Florida Woman
Obama Uses Autopen to Sign Patriot Act Extension,A bill extending the Patriot Act was signed into law by a mechanical autopen.,https://thecaucus.blogs.nytimes.com/2011/05/27/obama-uses-autopen-to-sign-patriot-act-extension-remotely/,2011-05-27T15:57:05+0000,U.S.,U.S.,Florida Woman
"William Aramony, United Way Leader Who Was Jailed for Fraud, Dies at 84","In 22 years as chief executive, Mr. Aramony turned a jumble of loose affiliates with many names and fund-raising aims into a charitable drive with a common name and a strategy.",https://www.nytimes.com/2011/11/14/business/william-aramony-disgraced-leader-of-united-way-dies-at-84.html,2011-11-14T01:22:00+0000,Business Day,Business Day,Florida Woman
"Tampa, Fla., Debate Fact-Check",Times reporters take a closer look at some of the statements made by the Republican presidential candidates in Thursday nightâ€™s debate.,https://thecaucus.blogs.nytimes.com/2012/01/23/tampa-fla-debate-fact-check/,2012-01-24T04:29:04+0000,U.S.,U.S.,Florida Woman
F.D.A. to Review Safety of Popular Bone Drugs,"The agency, because of concerns about long-term side effects, will consider requiring women using Fosamax and other drugs to take â€œdrug holidays.â€ù",https://www.nytimes.com/2011/09/06/health/06bone.html,2011-09-06T00:19:41+0000,Health,Health,Florida Woman
Florida Town Strives to Be Counted,A Florida woman rallies her home town to be accurately represented in the 2010 census.,https://www.nytimes.com/slideshow/2010/03/24/us/0324LAND_index.html,2010-07-08T20:16:43+0000,U.S.,U.S.,Florida Woman
Case of Cholera in Florida Is Linked to Haiti Outbreak,Health officials say a woman contracted the disease while visiting relatives in a region at the heart of Haitiâ€™s epidemic.,https://www.nytimes.com/2010/11/18/us/18florida.html,2010-11-18T02:35:13+0000,U.S.,U.S.,Florida Woman
"Merck Not at Fault in Fosamax Trial, Jurors Say","Judith Graves, a Florida woman, had sued the company, claiming that its osteoporosis drug, Fosamax, caused her jawbone to disintegrate.",https://www.nytimes.com/2010/11/20/business/20fosamax.html,2010-11-20T00:52:48+0000,Business Day,Business Day,Florida Woman
Johan Santana: A Pleasant On-Field Distraction,"For at least one game, questions about how the Mets would close games without their star closer didnâ€™t have to be answered, thanks to Johan Santana.",https://bats.blogs.nytimes.com/2010/08/12/johan-santana-a-pleasant-on-field-distraction/,2010-08-12T21:17:54+0000,Sports,Sports,Florida Woman
Mets Trying to Stay Focused on Baseball,"While the Mets closer Francisco Rodriguez prepared for his court appearance Thursday after being charged with assaulting his father-in-law at Citi Field Wednesday night, his teammates were trying to stay focused on the field.",https://bats.blogs.nytimes.com/2010/08/12/mets-trying-to-stay-focused-on-baseball/,2010-08-12T17:45:53+0000,Sports,Sports,Florida Woman
I Found My Mom Through Facebook,"With Facebook, if you think your child needs you to find a birth parent, you are fooling yourself.",https://www.nytimes.com/2011/06/26/fashion/i-found-my-birth-mother-through-facebook.html,2011-06-24T20:01:23+0000,Fashion & Style,Fashion & Style,Florida Woman
Emotional Power Broker of the Modern Family,"Pets alter not only a familyâ€™s routines but also its hierarchy, social rhythm and web of relationships.",https://www.nytimes.com/2011/03/15/health/15pets.html,2011-03-14T20:28:36+0000,Health,Health,Florida Woman
TV Guests Overstaying Their Welcome,Stunt casting â€” like Matt Damon on â€œ30 Rockâ€ù or Jennifer Aniston on â€œCougar Townâ€ù â€” is the new plague.,https://www.nytimes.com/2010/09/25/arts/television/25watch.html,2010-09-24T22:50:41+0000,Arts,Arts,Florida Woman
The Early Word: The Job Problem,Senators return to their districts for the August recess today with a disappointing jobs report in hand.,https://thecaucus.blogs.nytimes.com/2010/08/06/the-early-word-the-job-problem/,2010-08-06T14:11:00+0000,U.S.,U.S.,Florida Woman
Itâ€™s Not Supposed to Work Like This,An accidental hack and its aftermath bring online security to life for one baby boomer.,https://www.nytimes.com/2010/01/24/fashion/24genb.html,2010-01-22T18:01:58+0000,Fashion & Style,Fashion & Style,Florida Woman
Ideal President: A Rock Star Just Like Me,"Thereâ€™s not a show in town that more astutely reflects the state of this nation than â€œBloody Bloody Andrew Jackson,â€ù the rowdy political carnival that opened on Broadway.",https://www.nytimes.com/2010/10/14/theater/reviews/14bloody.html,2010-10-14T02:01:32+0000,Theater,Theater,Florida Woman
Egypt: 2 U.S. Students Get Swine Flu,"The students, a New Jersey man and a Florida woman, both 23, arrived in Cairo on different flights on May 28.",https://www.nytimes.com/2009/06/09/world/middleeast/09briefs-Egypt.html,2009-06-09T04:26:37+0000,World,World,Florida Woman
"In Hospital Decision, Obama Finds Safe Ground on Gay Rights",Allowing same-sex partners to visit hospitalized loved ones enjoys broad backing. ,https://www.nytimes.com/2010/04/17/us/politics/17hospitals.html,2010-04-17T00:36:52+0000,U.S.,U.S.,Florida Woman
Worshiping at the â€˜Idolâ€™ Church,A blogger charged with tracking â€œAmerican Idolâ€ù makes a case for its survival.,https://www.nytimes.com/2010/05/16/fashion/16Idol.html,2010-05-15T00:44:35+0000,Fashion & Style,Fashion & Style,Florida Woman
"Live Blog: Republican Debate in Tampa, Fla.","The coming clash between Newt Gingrich and Mitt Romney will be the featured attraction at the University of South Florida on Monday, where the two men and their rivals, Rick Santorum and Ron Paul, meet for the first of two debates this week.",https://thecaucus.blogs.nytimes.com/2012/01/23/live-blog-republican-debate-in-tampa-fla/,2012-01-24T02:45:51+0000,U.S.,U.S.,Florida Woman
Trace of Thought Is Found in â€˜Vegetativeâ€™ Patient,Experts said a finding could raise ethical questions about consulting severely disabled patients on care.,https://www.nytimes.com/2010/02/04/health/04brain.html,2010-02-03T22:01:02+0000,Health,Health,Florida Woman
Benefits Collected for a Long-Dead Mother,A South Florida woman kept her motherâ€™s decomposing body in their home for six years while collecting her Social Security benefits.,https://www.nytimes.com/2009/06/23/us/23body.html,2009-06-23T03:30:50+0000,U.S.,U.S.,Florida Woman
â€˜Out of Chicken McNuggetsâ€™,,https://laughlines.blogs.nytimes.com/2009/03/05/out-of-chicken-mcnuggets/,2009-03-05T13:44:41+0000,Week in Review,Week in Review,Florida Woman
Doubting a â€˜Locked-Inâ€™ Manâ€™s Words,"Rom Houben, a Belgian man who spent 23 years lying motionless in bed, suffering from complete paralysis that was misdiagnosed as the result of a coma, was discovered to have been fully conscious three years ago by a doctor using new brain-scan tec...",https://thelede.blogs.nytimes.com/2009/11/25/doubting-a-medical-miracle/,2009-11-25T21:45:05+0000,Blogs,Blogs,Florida Woman
"Securing Your Borders, Remotely",New home-security products let you watch over your home from anywhere thereâ€™s an Internet connection.,https://gadgetwise.blogs.nytimes.com/2009/04/30/securing-your-borders-remotely/,2009-04-30T19:27:36+0000,Technology,Technology,Florida Woman
Florida Woman Is Accused Of Abusing Adopted Children,"New York City officials have been drawn into a child abuse and fraud investigation in Florida involving a woman who is believed to have adopted her 11 children from New York Cityâ€™s foster care system in the mid-1990s, the Administration for Childr...",https://www.nytimes.com/2007/07/31/nyregion/31abuse.html,2007-07-31T04:00:00+0000,New York,New York,Florida Woman
