Title,Summary,Link,Time,Section,Subsection,Category
Sting Charges Against Craig Harsher Than Some,Files indicate that the case of Senator Larry E. Craig may have been handled more harshly than those of some other men who were arrested in an airport restroom.,https://www.nytimes.com/2007/09/10/washington/10craig.html,2007-09-10T04:00:00+0000,Washington,Washington,California Man
Court Weighs Rights of Passengers When Police Stop Cars,The question of whether a reasonable passenger would feel free to leave a car that has been stopped by a police officer was a key issue in a case heard by the Supreme Court.,https://www.nytimes.com/2007/04/24/washington/24scotus.html,2007-04-24T04:00:00+0000,Washington,Washington,California Man
American in Qaeda Tapes Accused of Treason,"Justice Department charges Adam Yahiye Gadan with treason, accusing him of giving aid and comfort to Al Qaeda by appearing in series of highly publicized videos urging violence against United States; Gadahn, convert to Islam who left US in late 19...",https://www.nytimes.com/2006/10/12/us/american-in-qaeda-tapes-accused-of-treason.html,2006-10-12T05:00:00+0000,U.S.,U.S.,California Man
Man Lost Seeking Help for Family Is Found Dead,"A California man missing for 11 days in the snowy mountains of the Oregon Coast Range was found, four days after he set out to seek help for his stranded family.",https://www.nytimes.com/2006/12/07/us/07oregon.html,2006-12-07T05:00:00+0000,U.S.,U.S.,California Man
Man Lost Seeking Help for Family Is Found Dead,Body of James Kim is found four days after he set out alone in wilderness of Oregon Coast Range to get help for stranded family; Kims were missing since Nov 25 after they got stuck in heavy snow; authorities speculate that he might have become dis...,https://www.nytimes.com/2006/12/07/us/man-lost-seeking-help-for-family-is-found-dead.html,2006-12-07T05:00:00+0000,U.S.,U.S.,California Man
Retrial denied in case alleging courtroom bias - Americas - International Herald Tribune,,https://www.nytimes.com/2006/12/11/world/americas/11iht-scotus.3860712.html,2006-11-11T05:00:00+0000,World,World,California Man
"Buttons at Trial Didn’t Bias Jury, Justices Say","The Supreme Court ruling, however, may not be the last word on the issue of spectator conduct.",https://www.nytimes.com/2006/12/11/washington/11cnd-scotus.html,2006-12-11T05:00:00+0000,Washington,Washington,California Man
National Briefing | West: California: Government Will Retry Terror Case,Federal prosecutors in California to retry Umer Hayat on charges of lying to FBI about son Hamid's stay at terrorist training camp in Pakistan; jury deadlocked in case on same day that separate jury convicted son (S),https://www.nytimes.com/2006/05/06/us/national-briefing-west-california-government-will-retry-terror-case.html,2006-05-06T05:00:00+0000,U.S.,U.S.,California Man
Top court reinstates killer's death sentence - Americas - International Herald Tribune,,https://www.nytimes.com/2006/11/13/world/americas/13iht-scotus.3512978.html,2006-10-13T05:00:00+0000,World,World,California Man
American charged with treason over Al Qaeda 'aid and comfort' - Americas - International Herald Tribune,,https://www.nytimes.com/2006/10/12/world/americas/12iht-treason.3134589.html,2006-10-12T05:00:00+0000,World,World,California Man
Metro Briefing | New York: Manhattan: Parachute Attempt Stopped,"New York City police and security officers prevent Jeb Corliss from parachuting off Empire State Building; Corliss, noted daredevil, is expected to face charges (S)",https://www.nytimes.com/2006/04/28/nyregion/metro-briefing-new-york-manhattan-parachute-attempt-stopped.html,2006-04-28T05:00:00+0000,New York,New York,California Man
News Summary,INTERNATIONAL A3-10    Tension and Restrictions Grow in the West Bank  The separation barrier Israel has been building just inside the West Bank boundary has drawn protests from Palestinians. But less notice has been paid to even more restrictive ...,https://www.nytimes.com/2006/11/18/nyregion/news-summary.html,2006-11-18T05:00:00+0000,New York,New York,California Man
Corrections,"An article yesterday about doubts raised over two Picasso drawings that were offered through Costco, the nation's largest warehouse club, misidentified one that was purchased for $40,000 by a California man in January 2005. It was a crayon drawing...",https://www.nytimes.com/2006/03/17/nyregion/pageoneplus/corrections-882950.html,2006-03-17T05:00:00+0000,New York,New York,California Man
Corrections,"An article on Thursday about doubts raised over two Picasso drawings that were offered through Costco, the nation's largest warehouse club, misidentified one that was purchased for $40,000 by a California man in January 2005. It was a crayon drawi...",https://www.nytimes.com/2006/03/21/nyregion/pageoneplus/corrections-899380.html,2006-03-21T05:00:00+0000,New York,New York,California Man
Corrections,"An article on Thursday about doubts raised over two Picasso drawings that were offered through Costco, the nation's largest warehouse club, misidentified one that was purchased for $40,000 by a California man in January 2005. It was a crayon drawi...",https://www.nytimes.com/2006/03/21/nyregion/pageoneplus/corrections-899372.html,2006-03-21T05:00:00+0000,New York,New York,California Man
Corrections,Corrections,https://www.nytimes.com/2006/10/27/pageoneplus/corrections.html,2006-10-27T04:00:00+0000,Corrections,Corrections,California Man
Congress Identifies Pornography Purchasers,"Congressional subcommittee investigating growth of online child pornography has referred names of hundreds of people who purchased illegal images to prosecutors in 46 states; records were given to committee by Justin Berry, man who, beginning at a...",https://www.nytimes.com/2006/07/14/us/congress-identifies-pornography-purchasers.html,2006-07-14T05:00:00+0000,U.S.,U.S.,California Man
Congress Identifies Pornography Purchasers,"A subcommittee investigating the growth of online child pornography has referred the names of hundreds of people to state prosecutors, officials said.",https://www.nytimes.com/2006/07/14/us/14porn.html,2006-07-14T04:00:00+0000,U.S.,U.S.,California Man
